"","bin","points","var"
"1","01 <= 22",21,"AGE_bin"
"2","02 <= 27",56,"AGE_bin"
"3","03 <= 35",93,"AGE_bin"
"4","04 <= 45",109,"AGE_bin"
"5","05 > 45",149,"AGE_bin"
"6","01 <= 21",77,"TMADD_bin"
"7","02 > 21",91,"TMADD_bin"
"8","01 <= 18",63,"TMJOB1_bin"
"9","02 <= 84",86,"TMJOB1_bin"
"10","03 <= 158.072",110,"TMJOB1_bin"
"11","04 > 158.072",129,"TMJOB1_bin"
"12","01 <= 0",95,"income_cash_ratio_bin"
"13","02 <= 0.66",90,"income_cash_ratio_bin"
"14","03 > 0.66",84,"income_cash_ratio_bin"
"15","01 = 'Cheque card'",136,"CARDS_bin"
"16","02 = 'Mastercard/Euroc'",153,"CARDS_bin"
"17","03 = 'no credit cards'",71,"CARDS_bin"
"18","04 = 'Other credit car'",59,"CARDS_bin"
"19","05 = 'VISA'",113,"CARDS_bin"
"20","01 = '1'",66,"adult_bin"
"21","02 = '2'",104,"adult_bin"
