"","col_name","type","num_unq","mode","mode_ratio","num_missing","num_na","num_inf","num_nan","min","q1","median","mean","q3","max","std_dev"
"1","TITLE","character",2,"H",0.7296,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"2","CHILDREN","numeric",10,"0",0.5471,0,0,0,0,0,0,0,0.7867,1,23,1.0937
"3","PERS_H","numeric",11,"1",0.3849,0,0,0,0,1,1,2,2.31,3,25,1.3881
"4","AGE","numeric",58,"23",0.0496,0,0,0,0,18,25,31,33.3602,40,80,11.1914
"5","TMADD","numeric",32,"3",0.0656,0,0,0,0,0,18,54,111.1673,144,999,172.5156
"6","TMJOB1","numeric",33,"6",0.0629,0,0,0,0,0,15,36,72.9773,84,999,118.3691
"7","TEL","numeric",3,"2",0.7913,0,0,0,0,0,2,2,1.7893,2,2,0.4127
"8","NMBLOAN","numeric",3,"0",0.6951,0,0,0,0,0,0,0,0.5551,2,2,0.8646
"9","FINLOAN","numeric",2,"0",0.5507,0,0,0,0,0,0,0,0.4493,1,1,0.4975
"10","INCOME","numeric",27,"0",0.1951,0,0,0,0,0,1500,2100,2039.1778,2700,1e+05,2503.0296
"11","EC_CARD","numeric",2,"0",0.7802,0,0,0,0,0,0,0,0.2198,0,1,0.4141
"12","STATUS","character",6,"V",0.514,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"13","BUREAU","numeric",3,"1",0.6109,0,0,0,0,1,1,1,1.718,3,3,0.9276
"14","LOCATION","numeric",2,"1",0.9924,0,0,0,0,0,1,1,0.9924,1,1,0.0866
"15","LOANS","numeric",11,"0",0.4047,0,0,0,0,0,0,1,1.0302,2,10,1.1794
"16","REGN","numeric",9,"0",0.2542,0,0,0,0,0,0,4,3.3371,5,9,2.5389
"17","DIV","numeric",2,"1",0.7458,0,0,0,0,0,0,1,0.7458,1,1,0.4355
"18","CASH","numeric",29,"2500",0.0829,0,0,0,0,0,1000,1500,3279.6444,2500,1e+05,9299.8672
"19","PRODUCT","character",7,"Radio, TV, Hifi",0.4629,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"20","RESID","character",3,"Lease",0.7838,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"21","NAT","character",9,"German",0.7347,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"22","PROF","character",10,"Others",0.7222,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"23","CAR","character",4,"Car",0.7304,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"24","CARDS","character",8,"no credit cards",0.7544,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"25","GB","numeric",2,"0",0.5,1500,1500,0,0,0,0,0.5,0.5,1,1,0.5001
"26","_freq_","numeric",2,"1",0.5,1500,1500,0,0,1,1,15.5,15.5,30,30,14.5024
